record	partRole	gestureID	stage	gStartTime	gEndTime	gDuration	gFunction	sem_edu	eStartTime	eEndTime	eDuration	Intersection	sDifference	sCoord0	eCoord0	sCoord50	eCoord50	sCoord100	eCoord100	sCoord200	eCoord200																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
4	N	N-mGe037	1st_telling	30580	31190	610	Depictive, Pragmatic	N-vE018	29386	30802	1416	222	1194	D	D	D	D	D	D	D	D																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
4	N	N-mGe049	1st_telling	38290	38680	390	Depictive	N-vE022	35373	39852	4479	390	2917	D	A	D	A	D	A	D	A																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
4	N	N-mGe052	1st_telling	40230	41900	1670	Depictive	N-vE023	40467	42006	1539	1433	-237	A	A	A	A	A	A	A	S																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
4	N	N-mGe053	1st_telling	43880	44390	510	Depictive	N-vE024	43109	45635	2526	510	771	D	A	D	A	D	A	D	A																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
4	N	N-mGe057	1st_telling	46160	48140	1980	Depictive, Pragmatic	N-vE025	46338	49312	2974	1802	-178	A	A	A	A	A	A	S	A																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
4	N	N-mGe081	1st_telling	63230	64080	850	Depictive	N-vE033	63562	65705	2143	518	-332	A	A	A	A	A	A	A	A																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
4	N	N-mGe082	1st_telling	64080	64570	490	Depictive	N-vE033	63562	65705	2143	490	518	D	A	D	A	D	A	D	A																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
4	N	N-mGe083	1st_telling	64570	65960	1390	Depictive	N-vE033	63562	65705	2143	1135	1008	D	D	D	D	D	D	D	D																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
4	N	N-mGe104	1st_telling	77580	79020	1440	Depictive	N-vE042	77778	78774	996	996	-198	A	D	A	D	A	D	S	D																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
4	N	N-mGe115	1st_telling	86320	87640	1320	Depictive	N-vE049	86752	87552	800	800	-432	A	D	A	D	A	S	A	S																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
4	N	N-mGe133	1st_telling	104850	105830	980	Depictive, Pragmatic	N-vE063	105024	106368	1344	806	-174	A	A	A	A	A	A	S	A																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
4	N	N-mGe138	1st_telling	109260	112310	3050	Depictive	N-vE067	109512	111480	1968	1968	-252	A	D	A	D	A	D	A	D																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
4	N	N-mGe150	1st_telling	124480	125820	1340	Depictive	N-vE075	124420	126894	2474	1340	60	D	A	D	A	S	A	S	A																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
4	N	N-mGe151	1st_telling	125820	126370	550	Depictive	N-vE075	124420	126894	2474	550	1400	D	A	D	A	D	A	D	A																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
4	N	N-mGe152	1st_telling	126370	126700	330	Depictive	N-vE075	124420	126894	2474	330	1950	D	A	D	A	D	A	D	S																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
4	N	N-mGe153	1st_telling	126700	128600	1900	Depictive	N-vE076	126894	128274	1380	1380	-194	A	D	A	D	A	D	S	D																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
4	N	N-mGe154	1st_telling	128600	129300	700	Depictive	N-vE077	128582	129983	1401	700	18	D	A	S	A	S	A	S	A																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
4	N	N-mGe155	1st_telling	129300	130120	820	Depictive	N-vE077	128582	129983	1401	683	718	D	D	D	D	D	D	D	S																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
4	N	N-mGe161	1st_telling	132230	132720	490	Depictive	N-vE079	131454	133383	1929	490	776	D	A	D	A	D	A	D	A																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
4	N	N-mGe172	1st_telling	137300	137850	550	Depictive, Pragmatic	N-vE082	136463	138278	1815	550	837	D	A	D	A	D	A	D	A																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
4	N	N-mGe173	1st_telling	137850	138810	960	Depictive, Pragmatic	N-vE082	136463	138278	1815	428	1387	D	D	D	D	D	D	D	D																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
4	N	N-mGe179	1st_telling	141610	142600	990	Depictive	N-vE084	141801	143756	1955	799	-191	A	A	A	A	A	A	S	A																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
4	N	N-mGe180	1st_telling	142600	143310	710	Depictive	N-vE084	141801	143756	1955	710	799	D	A	D	A	D	A	D	A																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
4	N	N-mGe181	1st_telling	143310	143810	500	Depictive	N-vE084	141801	143756	1955	446	1509	D	D	D	D	D	S	D	S																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
4	N	N-mGe190	1st_telling	150330	150970	640	Depictive, Pragmatic	N-vE089	150484	151011	527	486	-154	A	A	A	S	A	S	S	S																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
4	N	N-mGe191	1st_telling	150970	151350	380	Depictive, Pragmatic	N-vE089	150484	151011	527	41	486	D	D	D	D	D	D	D	D																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
4	N	N-mGe200	1st_telling	159640	162520	2880	Depictive	N-vE096	160384	161529	1145	1145	-744	A	D	A	D	A	D	A	D																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
4	N	N-mGe202	1st_telling	164030	166000	1970	Depictive	N-vE097	162577	165721	3144	1691	1453	D	D	D	D	D	D	D	D																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
4	N	N-mGe205	1st_telling	166760	168380	1620	Depictive	N-vE099	166720	167600	880	840	40	D	D	S	D	S	D	S	D																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
4	N	N-mGe206	1st_telling	168380	170190	1810	Depictive	N-vE100	168430	170057	1627	1627	-50	A	D	S	D	S	D	S	S																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
4	N	N-mGe207	1st_telling	170190	171580	1390	Depictive	N-vE101	170148	171691	1543	1390	42	D	A	S	A	S	A	S	S																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
4	N	N-mGe214	1st_telling	175410	176030	620	Depictive, Pragmatic	N-vE103	173894	176453	2559	620	1516	D	A	D	A	D	A	D	A																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
4	N	N-mGe215	1st_telling	176030	176440	410	Depictive, Pragmatic	N-vE103	173894	176453	2559	410	2136	D	A	D	S	D	S	D	S																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
4	N	N-mGe216	1st_telling	176440	177920	1480	Depictive, Pragmatic	N-vE104	176453	177449	996	996	-13	A	D	S	D	S	D	S	D																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
4	N	N-mGe217	1st_telling	177920	181470	3550	Depictive	N-vE105	177976	179334	1358	1358	-56	A	D	A	D	S	D	S	D																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
4	N	N-mGe218	1st_telling	181470	184060	2590	Depictive	N-vE107	181951	183523	1572	1572	-481	A	D	A	D	A	D	A	D																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
4	N	N-mGe221	1st_telling	187090	189510	2420	Depictive	N-vE112	188694	189564	870	816	-1604	A	A	A	A	A	S	A	S																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
4	N	N-mGe225	1st_telling	192790	193590	800	Depictive	N-vE117	192573	193785	1212	800	217	D	A	D	A	D	A	D	S																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
4	N	N-mGe245	1st_telling	210290	211020	730	Depictive	N-vE127	210487	212043	1556	533	-197	A	A	A	A	A	A	S	A																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
4	N	N-mGe246	1st_telling	211020	211800	780	Depictive	N-vE127	210487	212043	1556	780	533	D	A	D	A	D	A	D	A																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
4	N	N-mGe252	1st_telling	215680	216540	860	Depictive	N-vE129	215328	216634	1306	860	352	D	A	D	A	D	S	D	S																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
