record_id	participant	gesture_id	stage	time_begin	time_end	duration	ge_handedness	ge_function	ge_structure	ge_tags	MaxHM	edu_id_form	has_sem_edu	time_begin	time_end	duration	edu_illoc_phas	edu_main_acc	edu_words_num	sDifference	eCoord0	eCoord0	sCoord50	eCoord50	sCoord100	eCoord100	sCoord200	eCoord200
4	C	C-mGe034	Conversation	513550	514830	1280	Bh-sym	Depictive	P S		0,68229	C-vE071	yes	513059	514467	1408	Period	F	4	491	D	D	D	D	D	D	D	D
4	C	C-mGe035	Conversation	514830	516260	1430	Bh-sym	Depictive	P S R		0,45322	C-vE072	yes	515230	515649	419	Period	L	2	-400	A	D	A	D	A	D	A	D
4	C	C-mGe036	Conversation	546180	547360	1180	Bh-dif	Depictive	P S	Lt P Overlap	0,70786	C-vE074	yes	546076	548230	2154	Period	F	6	104	D	A	D	A	D	A	S	A
4	C	C-mGe037	Conversation	547360	548500	1140	Bh-sym	Depictive	P S R		0,52823	C-vE074	yes	546076	548230	2154	Period	F	6	1284	D	D	D	D	D	D	D	D
4	C	C-mGe038	Conversation	548500	549480	980	Bh-sym	Depictive	P S R		0,66735	C-vE075	no	548230	550187	1957	Period	F	6	270	D	A	D	A	D	A	D	A
4	C	C-mGe039	Conversation	583970	585810	1840	Bh-sym	Depictive	P S R	R Rebound	0,75439	C-vE084	yes	583931	585108	1177	Exclam, Comma	F	5	39	D	D	S	D	S	D	S	D
4	C	C-mGe040	Conversation	586050	587130	1080	Bh-sym	Depictive	P-S R	R Rebound	0,40605	C-vE085	yes	585234	586533	1299	Period	LR	3	816	D	D	D	D	D	D	D	D
4	C	C-mGe041	Conversation	587660	588540	880	Lt	Other, Pragmatic	P-S R		0,50312	C-vE086	no	586981	588184	1203	Period	FR	3	679	D	D	D	D	D	D	D	D
4	C	C-mGe042	Conversation	593220	594260	1040	Lt	Beat	S R		0,11082	C-vE088	no	591703	593370	1667	Period	F	5	1517	D	D	D	D	D	D	D	D
4	C	C-mGe043	Conversation	603730	604380	650	Rt	Depictive	P-S		0,33265	C-vE093	yes	603279	606537	3258	Comma	F	13	451	D	A	D	A	D	A	D	A
4	C	C-mGe044	Conversation	604380	606270	1890	Rt	Depictive	P-S R	R Rebound, Long R	0,73427	C-vE093	yes	603279	606537	3258	Comma	F	13	1101	D	A	D	A	D	A	D	A
4	C	C-mGe045	Conversation	616020	616610	590	Rt	Beat	P S		0,36887	C-vE097	no	615061	617670	2609	Period	F	7	959	D	A	D	A	D	A	D	A
4	C	C-mGe046	Conversation	616610	617570	960	Bh-dif	Depictive	P S R		0,53797	C-vE097	yes	615061	617670	2609	Period	F	7	1549	D	A	D	A	D	S	D	S
4	C	C-mGe047	Conversation	617570	618210	640	Rt	Depictive	P S R	Lt R Overlap	0,06156	C-vE097	yes	615061	617670	2609	Period	F	7	2509	D	D	D	D	D	D	D	D
4	C	C-mGe048	Conversation	618210	619530	1320	Lt	Other, Pragmatic	P S R	Rt R Overlap	0,61126	C-vE098	no	618573	619154	581	Period	F	1	-363	A	D	A	D	A	D	A	D
4	C	C-mGe049	Conversation	627990	628800	810	Bh-id	Beat	P-S-R	Shuttle	0,41761	C-vE100	no	628340	629733	1393	Period	F	3	-350	A	A	A	A	A	A	A	A
4	C	C-mGe050	Conversation	632860	633530	670	Bh-id	Depictive	P S		0,68447	C-vE102	yes	632979	633919	940	Period	F	3	-119	A	A	A	A	A	A	S	A
4	C	C-mGe051	Conversation	633530	633910	380	Bh-sym	Depictive	S-R		0,57576	C-vE102	yes	632979	633919	940	Period	F	3	551	D	A	D	S	D	S	D	S
4	C	C-mGe052	Conversation	666260	667100	840	Rt	Pointing	P S R		0,69393	C-vE109	no	666233	667814	1581	Period	rF	6	27	D	A	S	A	S	A	S	A
4	C	C-mGe053	Conversation	667630	668900	1270	Rt	Pointing, Pragmatic	P-S R		0,88436	C-vE110	no	667814	669000	1186	Dir	F	4	-184	A	A	A	A	A	S	S	S
4	C	C-mGe054	Conversation	671930	672730	800	Lt	Beat	S		0,55306	C-vE113	no	672003	673832	1829	Period	F	4	-73	A	A	A	A	S	A	S	A
4	C	C-mGe055	Conversation	673940	674390	450	Bh-dif	Pointing, Pragmatic	S		0,27366	C-vE114	no	674111	675700	1589	Dots-nf	FRl	5	-171	A	A	A	A	A	A	S	A
4	C	C-mGe056	Conversation	674390	674930	540	Bh-dif	Pointing, Pragmatic	S		0,50728	C-vE114	no	674111	675700	1589	Dots-nf	FRl	5	279	D	A	D	A	D	A	D	A
4	C	C-mGe057	Conversation	674930	676280	1350	Bh-dif	Beat	S R		0,52399	C-vE114	no	674111	675700	1589	Dots-nf	FRl	5	819	D	D	D	D	D	D	D	D
4	C	C-mGe058	Conversation	682800	684210	1410	Rt	Beat	P S R	S Rebound	0,72109	C-vE122	no	683077	683872	795	Dots-nf	RL	2	-277	A	D	A	D	A	D	A	D
4	C	C-mGe059	Conversation	684210	685560	1350	Rt	Pointing, Pragmatic	P S-R		0,68296	C-vE124	no	684596	686069	1473	Period	F	3	-386	A	A	A	A	A	A	A	A
4	C	C-mGe060	Conversation	685560	686720	1160	Rt	Depictive, Pragmatic	P S R		0,38663	C-vE124	yes	684596	686069	1473	Period	F	3	964	D	D	D	D	D	D	D	D
4	C	C-mGe061	Conversation	688440	689780	1340	Rt	Pointing, Pragmatic	P-S R		0,62309	C-vE125	no	687842	689317	1475	Period	F	3	598	D	D	D	D	D	D	D	D
4	C	C-mGe062	Conversation	702890	703950	1060	Rt	Beat	P-S R		0,79045	C-vE131	no	703073	704232	1159	Comma	Fl	3	-183	A	A	A	A	A	A	S	A
