record_id	participant	gesture_id	stage	time_begin	time_end	duration	ge_handedness	ge_function	pragmatic	ge_structure	ge_tags	MaxHM	edu_id_form	has_sem_edu	time_begin	time_end	duration	edu_html	edu_illoc_phas	edu_main_acc	edu_words_num	LeftDiff	RightDiff	eCoord0	eCoord0	sCoord50	eCoord50	sCoord100	eCoord100	sCoord200	eCoord200
4	C	C-mGe026	Conversation	473490	474070	580	Bh-id	Beat		P-S R		0,67497	C-vE057	0	473745	474128	383	как= || да= ==	Fst		2	-255	-58	A	A	A	A	A	S	A	S
4	C	C-mGe027	Conversation	475360	475900	540	Bh-id	Beat		P-S R		0,36561	C-vE058	0	474128	476542	2414	да \какая-то (? 0.30) –выжженная /трав<u>а</u> такая,	Comma	R	5	1232	-642	D	A	D	A	D	A	D	A
4	C	C-mGe028	Conversation	475900	476560	660	Bh-sym	Other	 Pragmatic	P-S R		0,4177	C-vE058	0	474128	476542	2414	да \какая-то (? 0.30) –выжженная /трав<u>а</u> такая,	Comma	R	5	1772	18	D	D	D	S	D	S	D	S
4	C	C-mGe029	Conversation	498100	499370	1270	Bh-sym	Beat		P S-R		0,77914	C-vE065	0	497687	499677	1990	Серого даже в \зел<u>ё</u>ный немножко оттенок.	Period	F	6	413	-307	D	A	D	A	D	A	D	A
4	C	C-mGe030	Conversation	499700	500920	1220	Bh-dif	Depictive	 Pragmatic	P S R		0,85251	C-vE066	0	499894	501081	1187	Достаточно \т<u>о</u>лстые.	Period	F	2	-194	-161	A	A	A	A	A	A	S	S
4	C	C-mGe031	Conversation	501080	501810	730	Bh-id	Beat	 Pragmatic	P-S R		0,63696	C-vE067	0	501081	502640	1559	Не по \пог<u>о</u>де я бы сказал.	Period	F	6	-1	-830	A	A	S	A	S	A	S	A
4	C	C-mGe032	Conversation	509970	510800	830	Bh-sym	Depictive	 Pragmatic	P S R	Repeat, R Rebound	0,96009	C-vE069	0	509915	510814	899	тоже \т<u>о</u>лстый.	Period	F	2	55	-14	D	A	D	S	S	S	S	S
4	C	C-mGe033	Conversation	512340	513550	1210	Bh-sym	Depictive		P S R		0,3751	C-vE071	1	513059	514467	1408	Ну как \пион<u>е</u>рские такие.	Period	F	4	-719	-917	A	A	A	A	A	A	A	A
4	C	C-mGe034	Conversation	513550	514830	1280	Bh-sym	Depictive		P S		0,68229	C-vE071	1	513059	514467	1408	Ну как \пион<u>е</u>рские такие.	Period	F	4	491	363	D	D	D	D	D	D	D	D
4	C	C-mGe035	Conversation	514830	516260	1430	Bh-sym	Depictive		P S R		0,45322	C-vE072	1	515230	515649	419	Ну –д<u>а</u>.	Period	L	2	-400	611	A	D	A	D	A	D	A	D
4	C	C-mGe036	Conversation	546180	547360	1180	Bh-dif	Depictive		P S	Lt P Overlap	0,70786	C-vE074	1	546076	548230	2154	\Велосипед у него с багажником \сп<u>е</u>реди.	Period	F	6	104	-870	D	A	D	A	D	A	S	A
4	C	C-mGe037	Conversation	547360	548500	1140	Bh-sym	Depictive		P S R		0,52823	C-vE074	1	546076	548230	2154	\Велосипед у него с багажником \сп<u>е</u>реди.	Period	F	6	1284	270	D	D	D	D	D	D	D	D
4	C	C-mGe038	Conversation	548500	549480	980	Bh-sym	Depictive		P S R		0,66735	C-vE075	0	548230	550187	1957	Он на этот \баг<u>а</u>жник ставит /корзину.	Period	F	6	270	-707	D	A	D	A	D	A	D	A
4	C	C-mGe039	Conversation	583970	585810	1840	Bh-sym	Depictive		P S R	R Rebound	0,75439	C-vE084	1	583931	585108	1177	Ну он же на \корз<u>и</u>ну<sup>?</sup>!,	Exclam, Comma	F	5	39	702	D	D	S	D	S	D	S	D
